Customer_ID,Credit_Score,Income,Age,Loan_Amount,Loan_Term_Months,Rent_Payments,Utility_Payments_On_Time,Mobile_Phone_Payment_On_Time,Social_Media_Activity_Score,Transaction_Behavior_Score
118,824,74756,62,9004,60,1289,True,False,70,87
119,459,87957,38,10752,24,2432,True,True,97,71
120,542,125423,40,44360,24,1612,True,True,55,56
121,385,78053,60,27819,60,1187,True,True,1,23
122,327,90855,33,37632,24,1029,True,True,70,25
123,639,35896,64,27515,48,1894,True,False,45,91
124,630,75761,32,25217,12,1471,True,True,98,6
125,805,82552,42,24172,36,1435,True,True,47,34
126,647,140075,53,33994,12,2436,True,True,79,63
127,772,97454,28,16036,36,1922,True,True,26,9
128,530,146522,68,12739,48,605,False,True,14,60
129,489,138681,32,33220,24,1794,True,False,54,49
130,524,110600,21,10587,60,2498,True,True,71,97
131,684,142732,38,45517,48,1330,True,False,46,51
132,676,132153,30,31129,12,2026,True,True,31,60
133,582,142926,39,1645,60,1178,True,True,88,70
134,558,47935,36,31930,24,2048,True,True,59,37
135,658,57641,51,17299,48,1348,True,True,95,31
136,755,49711,31,31090,60,1555,True,False,29,98
137,710,90342,21,22953,48,892,True,True,96,41
138,617,126896,65,47443,48,539,True,True,17,62
139,524,32182,69,27475,24,1159,True,True,14,93
140,533,107833,63,19888,36,1741,True,True,36,58
141,673,76276,44,44732,60,2254,True,True,58,14
142,771,39541,46,17087,24,1480,False,True,24,36
143,532,114457,64,47305,48,1605,True,True,63,36
144,412,102310,45,47037,24,1344,True,True,91,79
145,796,64813,52,10346,36,2243,True,True,25,8
146,741,57198,25,1587,60,700,True,True,59,26
147,567,28820,33,13763,36,946,True,True,32,36
148,809,44070,59,42945,12,2367,True,True,82,48
149,685,89768,53,5079,60,1951,True,False,18,85
150,686,31122,47,37116,36,1561,True,True,37,28
151,412,100559,35,21215,48,1734,True,True,26,68
152,380,93543,19,26817,60,943,True,True,9,62
153,412,103441,66,25765,60,1850,True,True,99,80
154,301,61786,30,31112,24,1260,True,True,64,86
155,519,114934,21,26556,48,726,False,True,72,76
156,524,119804,43,19099,12,547,True,True,20,80
157,684,26737,42,44553,36,1541,True,True,54,51
158,702,56062,47,46096,24,1411,True,True,86,42
159,429,74237,28,7450,36,1962,False,True,83,29
160,352,71571,24,14230,12,2330,True,False,30,82
161,715,45510,48,30009,12,2231,True,True,53,10
162,546,39426,61,6433,60,686,True,True,92,39
163,738,57265,27,34866,12,844,True,False,99,82
164,502,37850,56,40864,36,723,True,True,63,1
165,483,138249,30,19710,48,1329,True,True,11,39
166,422,86150,48,12439,48,987,True,True,31,21
167,700,107312,24,42855,60,2432,True,False,49,65
168,593,109613,66,17021,36,1376,True,True,94,15
169,579,94910,59,7416,36,1348,True,False,87,4
170,497,72375,59,7980,12,1752,True,True,19,60
171,810,141826,53,19058,36,1913,True,True,12,61
172,443,55435,37,12101,24,1478,True,False,15,20
173,500,116443,21,41718,12,2112,True,True,31,10
174,423,77132,24,33602,24,1516,True,True,43,87
175,486,98945,18,10122,60,687,True,True,37,34
176,625,102050,61,13576,48,2381,True,True,79,48
177,763,149828,62,28516,60,769,True,False,29,33
178,648,115402,59,23433,48,2130,True,True,26,98
179,702,22983,64,2089,60,809,True,True,2,61
180,645,117241,30,38346,36,1655,True,True,84,10
181,810,40662,39,10127,24,2074,True,True,15,54
182,446,43510,38,11487,48,1595,True,True,4,84
183,447,98187,39,1155,12,2316,True,True,86,65
184,788,60998,45,2958,24,1344,True,True,50,77
185,637,76846,26,11693,12,2195,True,False,38,1
186,772,114071,43,40112,24,1710,True,True,23,5
187,450,26640,26,39547,24,985,False,True,59,80
188,714,64547,32,29795,60,1714,True,False,90,15
189,597,74620,27,22447,48,1945,True,True,75,28
190,562,35317,41,37598,48,619,True,True,28,95
191,443,135608,59,42814,24,719,True,True,66,23
192,645,27564,25,26215,36,552,True,False,8,17
193,301,47345,41,10794,36,2257,True,True,29,98
194,603,133824,33,34209,12,1974,True,False,11,13
195,553,114223,66,23424,12,1935,True,True,18,14
196,752,143372,43,48246,60,2166,True,True,55,11
197,336,99273,44,38396,24,1760,True,True,50,28
198,459,94859,54,7370,12,1257,True,True,14,42
199,308,100765,21,10528,12,1237,True,True,74,96
200,532,130017,67,29276,24,1219,True,True,99,99
201,398,94038,41,45333,60,905,True,True,9,61
202,507,143618,36,9179,12,1107,True,True,99,64
203,430,72393,53,49781,60,1520,True,True,11,31
204,703,86081,56,17843,48,921,True,True,63,81
205,451,145341,27,24952,60,1211,True,True,76,73
206,353,122650,42,34160,36,746,True,True,67,10
207,419,49430,35,45898,36,571,True,True,53,8
208,719,95532,36,30516,60,2353,True,True,39,21
209,721,47788,53,11449,36,684,True,True,78,77
210,403,115505,27,22125,48,505,True,True,56,59
211,553,68543,50,8418,24,1729,True,False,28,50
212,526,33919,67,23746,36,2067,True,True,75,69
213,411,89346,22,3454,36,2134,True,True,39,70
214,809,116122,64,18761,60,1405,True,True,25,30
215,772,59974,66,16223,48,886,True,True,21,95
216,398,127309,52,7701,24,2291,True,True,10,17
217,452,36371,61,3597,60,1198,False,True,43,75
218,637,65084,51,1141,60,1599,True,True,15,20
219,462,49629,50,3659,48,1700,True,True,83,48
220,460,71184,38,21980,24,1326,True,True,48,73
221,697,81916,34,10031,48,2322,True,True,86,2
222,576,147293,39,16037,24,848,True,True,21,37
223,803,93972,65,47738,48,1778,True,True,60,1
224,691,82187,54,39429,60,2360,True,False,96,4
225,434,32984,32,7142,60,2225,True,True,50,54
226,494,53039,52,13109,12,807,True,True,23,25
227,700,105431,45,23010,36,1868,True,False,13,3
228,332,103691,24,9787,48,1650,True,True,69,9
229,759,78606,49,43864,12,2460,False,True,4,86
230,769,30616,28,9472,36,786,True,True,92,87
231,674,122665,27,24383,48,1265,True,False,78,76
232,321,125373,26,5249,24,1224,True,True,72,74
233,337,70072,31,48717,36,1261,False,True,9,34
234,529,44574,30,35518,60,2119,True,True,35,43
235,664,23430,42,19351,12,2010,True,False,21,74
236,737,139123,19,5088,36,882,True,True,58,94
237,582,32676,52,16282,36,1929,True,True,18,22
238,326,30816,24,20330,60,887,True,False,97,70
239,525,52733,38,43409,48,1024,True,True,72,2
240,576,105680,35,22778,24,2080,False,True,81,94
241,583,22050,20,25264,60,1138,True,True,43,66
242,780,129996,59,6075,24,1437,True,True,95,32
243,752,53933,56,11412,48,2149,True,False,98,16
244,815,44951,58,49454,36,2468,True,True,6,76
245,846,52413,66,29365,24,775,True,True,86,1
246,491,54801,28,8230,12,999,True,True,78,72
247,348,75619,56,49200,12,1216,True,True,67,48
248,811,52913,41,12002,60,836,True,False,12,50
249,316,132573,63,14947,48,2473,True,True,12,13
250,471,139076,36,14686,60,1431,True,True,66,15
251,519,60600,21,30304,60,980,True,True,2,53
252,457,77775,43,14074,60,2420,True,False,15,44
253,776,110816,55,5493,12,1410,False,True,23,8
254,345,149972,59,35228,12,2496,True,True,29,74
255,672,110093,49,15140,60,1796,False,True,81,46
256,817,132590,56,32655,12,2443,True,True,96,69
257,398,55400,62,44472,48,1581,True,True,7,19
258,336,24494,63,7816,60,1851,True,True,94,38
259,579,100688,53,12639,12,2254,True,True,28,11
260,648,142744,57,48192,24,608,True,True,14,43
261,796,109431,54,47733,60,1802,True,True,44,20
262,601,94691,50,30492,60,2209,True,False,30,20
263,480,117419,53,12240,48,827,True,True,81,21
264,398,128730,20,33698,36,2299,True,False,32,82
265,415,63001,26,27957,36,814,True,True,70,57
266,490,87364,25,33808,48,1997,True,True,88,50
267,552,144988,50,6827,48,1634,True,False,6,74
268,460,65028,23,33762,48,1198,True,True,27,98
269,555,127434,58,9259,36,1280,True,True,82,26
270,622,117659,56,15849,48,2458,True,False,88,30
271,427,57573,21,17232,12,1752,True,True,24,73
272,317,20806,30,41572,60,2020,True,True,34,31
273,622,144343,66,25173,60,655,True,True,40,42
274,587,76638,19,6374,24,1996,True,True,47,68
275,454,148301,22,22174,24,2224,True,True,79,61
276,789,146295,61,24567,60,1795,True,True,75,61
277,685,126506,44,36292,12,1386,False,True,86,70
278,403,49757,49,10277,36,1525,True,True,24,78
279,692,54636,38,32600,36,1257,True,True,65,68
280,545,100097,25,10885,12,1221,True,True,18,90
281,475,68280,55,1778,36,2034,True,True,44,17
282,338,44262,25,30165,48,1412,True,True,76,19
283,776,100435,67,2492,60,1809,True,True,57,51
284,837,82211,20,31462,60,1370,True,True,28,70
285,707,74842,61,14615,12,512,False,True,71,63
286,824,148583,20,45900,36,1107,True,True,23,93
287,805,76979,39,43946,24,997,True,False,85,75
288,335,134524,23,8851,24,2256,True,True,34,80
289,319,101470,19,17288,36,737,True,True,11,30
290,620,58197,40,8156,24,1617,True,True,86,25
291,811,61844,61,3044,12,1861,True,True,35,75
292,699,84754,19,8368,12,1280,True,False,93,71
293,770,121868,55,20900,36,1694,True,False,42,26
294,442,54157,34,31600,24,1105,True,True,28,56
295,391,97129,52,47403,12,1160,False,True,82,22
296,653,60042,51,26634,12,2147,True,False,78,89
297,350,81665,40,10168,48,2090,True,False,82,19
298,489,135512,47,21961,48,1348,False,True,92,31
299,424,136953,69,45096,12,1435,True,True,24,26
300,449,102856,25,47087,36,1990,True,True,8,42
301,613,47376,39,24852,60,1127,True,False,53,41
302,641,129049,61,34110,60,642,True,True,72,23
303,604,75554,53,33174,12,1724,True,True,4,47
304,353,34199,22,35215,12,1703,True,True,91,13
305,743,138533,30,27955,12,1213,False,True,5,89
306,563,101412,46,7581,36,1887,True,True,97,66
307,352,70948,48,45619,48,978,True,False,49,66
308,304,93781,64,7317,12,1064,True,True,98,16
309,402,92750,33,43856,12,970,False,True,30,73
310,495,86262,59,46714,24,883,True,True,72,28
311,649,137424,47,27649,36,2215,False,True,63,77
312,346,66600,33,24132,12,1425,True,True,47,35
313,568,96898,29,17789,24,916,True,True,26,41
314,669,82483,34,15567,60,2348,True,True,57,77
315,405,38297,33,15868,12,807,True,True,37,31
316,419,50448,29,25370,12,1148,True,True,98,85
317,357,46172,25,43533,24,2217,True,True,7,32
318,645,62874,37,31483,36,1890,True,False,40,54
319,773,27657,20,13466,12,1524,True,False,92,98
320,416,104386,33,29803,60,1567,True,True,39,72
321,426,145617,47,19230,12,1238,False,True,62,59
322,692,45425,62,18862,60,2366,True,False,92,41
323,357,46685,40,44355,48,1621,True,True,78,66
324,812,142000,45,32259,48,2243,True,True,53,96
325,395,132855,68,34539,60,1788,True,False,4,54
326,417,44578,57,22909,36,2323,True,True,82,40
327,787,48831,22,31795,12,2306,True,True,25,28
328,536,27906,37,9770,12,639,True,False,7,37
329,571,81413,57,12093,48,2004,True,True,28,65
330,488,74028,61,47571,60,1760,True,True,69,74
331,746,27287,18,1193,12,1473,True,True,67,55
332,546,53660,47,35775,12,1516,True,True,95,4
333,375,95758,38,18569,36,1452,True,True,20,99
334,453,80504,37,12190,24,1403,True,True,83,10
335,734,79720,23,43752,48,571,True,False,11,47
336,385,122979,39,33327,48,2190,True,True,67,75
337,584,54701,35,43070,24,1713,False,True,87,14
338,519,103300,25,21389,12,1791,True,True,7,38
339,368,130177,56,41197,36,1844,True,True,23,12
340,346,37674,49,3261,36,606,True,True,61,45
341,393,103560,50,29369,48,1755,True,False,71,17
342,752,131543,33,27512,36,1565,True,False,34,80
343,503,43874,29,7716,24,2225,True,True,19,35
344,517,63642,55,22259,12,1382,True,True,58,66
345,773,143867,69,29933,24,638,True,True,9,75
346,731,117820,51,42689,60,1114,True,True,48,41
347,640,85160,31,5378,48,2206,True,True,82,67
348,588,37602,53,41583,36,1362,True,True,41,29
349,553,123320,50,47546,60,772,True,False,48,18
350,656,108801,40,20835,36,2004,True,True,45,20
351,322,45931,67,30033,12,915,True,True,25,14
352,821,114377,62,25000,12,1005,True,True,78,34
353,399,49192,19,46496,12,1232,True,True,25,49
354,479,66542,58,11332,36,2248,True,True,19,54
355,522,147015,38,43604,60,2376,True,True,39,31
356,741,62520,19,3800,12,923,True,True,79,58
357,624,84772,44,30538,60,1930,True,True,80,42
358,815,78762,26,31119,36,2091,True,True,27,58
359,315,70106,18,9333,60,889,True,True,74,82
360,635,101121,28,6410,36,841,True,True,63,30
361,557,45559,20,18839,36,1445,True,True,68,25
362,796,125595,69,31519,48,1113,True,True,19,63
363,459,53742,40,6808,36,2456,True,True,28,19
364,774,89669,43,7796,36,992,True,True,85,72
365,679,100199,21,22180,24,691,True,True,78,92
366,844,41754,35,44056,12,998,True,True,33,8
367,726,23972,23,18709,48,1321,True,True,10,95
368,567,90831,52,18543,48,2235,True,True,83,3
369,716,132217,39,38418,48,1756,True,True,30,67
370,467,61873,60,30075,24,2468,False,True,22,86
371,342,114661,32,38755,36,726,True,False,3,81
372,584,126532,39,48968,12,1894,True,True,82,17
373,696,146267,54,38465,60,638,True,False,75,14
374,311,29903,69,31502,36,1355,True,True,48,9
375,601,23020,59,17724,24,1316,True,True,2,62
376,552,61755,29,4828,36,1672,True,False,76,94
377,798,105956,64,18087,36,1638,True,True,54,21
378,334,106988,66,13605,24,1973,False,True,6,76
379,389,65648,59,32337,48,1586,True,True,40,37
380,717,123537,55,6482,48,603,True,True,93,96
381,414,145991,35,28005,12,2374,True,True,94,11
382,495,29516,62,23760,12,1370,True,True,2,20
383,800,132863,52,6463,48,1167,True,False,73,35
384,792,135005,47,47628,60,772,True,True,2,53
385,374,22396,41,5912,36,1529,True,False,93,47
386,712,104082,59,5648,60,1670,True,False,97,75
387,675,39129,47,34623,36,683,True,True,74,52
388,719,148322,31,36634,48,1551,False,True,98,8
389,576,21591,23,45602,12,2485,True,False,55,4
390,693,31303,20,4112,12,2073,False,False,72,27
391,756,50561,33,23054,60,1642,True,True,60,44
392,491,91719,24,5492,12,792,True,True,97,40
393,398,138618,69,23207,48,1894,True,True,6,47
394,847,112108,31,16114,60,1767,True,True,19,94
395,395,148748,26,35285,36,2103,True,True,96,44
396,489,119616,32,17018,12,2249,True,True,27,48
397,336,144165,38,22386,24,1741,True,True,1,91
398,668,106231,52,18740,12,676,True,True,33,85
399,824,27314,19,45199,36,1822,True,True,40,52
400,578,137071,44,9210,60,2199,True,True,32,84
401,516,39623,19,45363,36,557,True,True,69,68
402,572,87675,52,46639,24,1792,True,True,17,11
403,361,132992,35,13743,48,807,True,True,8,77
404,641,116826,31,43092,12,2093,True,True,57,73
405,696,85082,37,45299,60,1811,False,True,42,4
406,318,149839,35,7588,48,1476,True,False,98,76
407,476,103624,27,4311,36,1628,True,True,9,73
408,695,125228,42,23432,60,1751,True,True,87,77
409,744,53130,19,34755,48,1770,True,True,35,48
410,532,71756,42,4321,60,1199,True,False,71,26
411,375,117624,50,16812,24,2017,True,True,79,77
412,564,46292,53,38383,24,582,True,True,53,39
413,754,131785,48,49280,12,1709,True,True,54,92
414,683,147331,31,14146,12,751,True,True,84,58
415,805,106206,18,14654,24,1878,True,True,25,19
416,666,89274,63,36820,60,2273,True,True,67,88
417,443,22469,33,1726,24,2395,False,True,62,83
418,368,73947,63,4760,12,2219,True,True,55,77
419,398,42534,69,23190,24,1295,True,True,46,77
420,695,83620,20,2875,24,1396,True,True,24,58
421,324,68874,52,24377,60,2461,True,True,98,28
422,768,69708,58,47737,48,709,False,True,46,66
423,783,94553,23,5033,12,1315,True,True,22,10
424,450,88344,42,39211,60,2331,True,True,11,86
425,443,69138,30,18373,24,1108,True,True,48,77
426,338,74302,51,4744,24,946,True,True,8,58
427,408,67638,25,25995,48,959,True,False,39,73
428,341,98249,38,17977,12,1467,True,True,35,97
429,485,125865,51,33402,12,971,False,True,49,14
430,697,22719,21,35542,36,2243,True,True,46,84
431,522,42890,42,11651,12,869,True,True,38,15
432,432,97236,32,34703,48,1399,True,True,8,96
433,462,56509,21,14395,36,2457,True,True,54,33
434,514,62534,62,30808,36,2015,True,True,37,17
435,534,122302,29,37576,24,1422,True,True,91,24
436,308,112241,49,17715,24,636,True,True,92,30
437,373,38787,49,45409,12,866,True,True,40,62
438,791,146209,45,25306,36,1411,True,True,34,13
439,552,68845,30,20086,24,683,True,True,96,62
440,529,77932,48,15376,48,2111,True,True,79,47
441,818,112124,31,6889,24,1810,True,True,17,16
442,473,111659,37,38822,24,971,True,False,33,66
443,467,53062,35,37636,36,1898,True,False,47,81
444,469,95713,46,21584,36,1153,True,True,52,96
445,692,107263,23,35610,60,1248,True,True,80,43
446,493,115756,49,11058,48,1036,False,True,93,8
447,816,80461,46,10101,36,2034,True,True,9,3
448,328,95418,60,13497,12,1301,True,True,33,12
449,464,86672,19,5658,48,2102,True,True,60,84
450,721,148232,40,12381,48,1773,True,True,93,16
451,638,54832,36,41312,36,1419,True,False,77,78
452,795,147335,48,41486,48,1009,False,True,21,80
453,664,51966,68,47619,36,1129,True,True,58,59
454,641,92545,22,18154,24,1501,False,True,85,49
455,799,32987,36,20539,60,1596,False,True,69,63
456,810,57311,51,12777,24,1805,True,True,10,62
457,626,51575,27,35396,36,1415,True,True,6,49
458,516,83852,42,31373,36,2483,True,True,13,51
459,600,147650,19,34154,24,1883,True,True,65,33
460,431,21007,28,7031,12,1533,True,True,20,30
461,369,90981,67,28997,12,1734,True,True,57,59
462,551,96242,48,7439,12,2358,True,True,46,76
463,714,67517,32,23785,36,651,True,True,8,15
464,744,130022,26,14392,48,1528,True,True,10,82
465,481,49257,40,29669,36,1718,True,True,73,92
466,466,107272,36,29939,48,2477,True,True,67,23
467,390,62207,26,3282,24,1806,True,True,11,78
468,830,33281,52,35624,60,963,True,True,12,94
469,338,81246,38,49438,48,1636,True,False,10,97
470,425,21435,26,25364,12,770,True,True,25,45
471,750,118875,45,2998,36,1686,True,True,49,62
472,472,120686,63,32705,24,959,True,True,49,79
473,519,111357,68,39244,12,604,True,False,89,71
474,357,46660,24,10428,24,2216,True,True,11,15
475,775,25084,33,38437,60,2079,True,True,62,46
476,755,102197,33,13336,36,1805,True,True,36,64
477,660,33507,50,10342,36,2210,True,True,39,46
478,300,92595,21,40832,60,661,True,True,53,56
479,686,103807,21,8446,36,850,True,True,90,44
480,647,65539,56,39392,48,933,True,True,78,75
481,489,135953,57,8461,24,1351,True,False,56,29
482,804,27491,34,35587,12,639,True,True,1,95
483,490,147706,54,11516,60,1994,True,True,56,62
484,807,132831,56,14749,48,1655,True,True,4,89
485,668,70192,69,18514,12,586,True,True,30,52
486,708,100395,46,36426,12,2211,True,True,12,54
487,416,143797,69,37268,60,682,True,True,35,88
488,433,83888,53,25950,48,867,True,True,77,57
489,357,93609,55,35888,12,628,True,True,52,83
490,472,29077,56,37788,12,1769,True,True,31,66
491,448,137440,67,11213,48,2124,True,True,87,22
492,379,142901,54,37027,36,2101,True,True,68,20
493,512,40953,69,29011,12,1169,False,True,52,33
494,502,96919,52,43849,24,2422,True,True,80,72
495,528,134682,24,35591,48,1901,True,False,7,25
496,526,141041,44,18858,12,648,True,False,22,46
497,831,87889,45,19626,60,1484,True,True,93,73
498,740,43821,39,14467,24,1351,True,True,75,98
499,701,57567,31,40758,12,1956,True,True,56,57
500,346,135374,24,4134,24,1127,True,True,97,87
501,532,44860,54,17743,24,2249,True,True,58,5
502,604,41195,39,16434,36,1992,True,True,93,55
503,825,97475,22,48775,24,945,True,True,64,61
504,442,110874,19,11233,36,2004,True,True,12,89
505,714,107266,44,2141,48,1383,True,True,7,8
506,812,41427,38,19019,36,793,True,True,55,16
507,672,120732,55,21384,60,2288,True,True,62,48
508,558,47083,32,43903,12,1666,True,True,90,61
509,770,107046,38,46734,48,749,True,True,73,15
510,311,77372,27,37129,48,1377,True,True,98,65
511,629,143786,40,23967,60,1447,False,True,77,22
512,657,64064,56,41603,36,1474,True,True,55,3
513,707,27813,22,12172,12,1825,True,True,36,54
514,672,51598,18,17390,36,1548,True,True,89,14
515,307,132718,30,4267,24,1288,True,True,24,36
516,421,146879,38,40332,36,1483,True,True,44,82
517,647,113106,43,27167,48,1388,True,True,17,82
518,389,47082,67,22312,12,1389,True,True,2,67
519,615,49241,62,28840,36,2424,True,True,13,10
520,477,116214,38,19990,12,569,True,True,31,49
521,839,64569,35,45179,12,1124,True,False,93,65
522,340,31745,54,6906,24,1374,True,True,28,91
523,801,46029,62,49796,24,1635,True,True,60,57
524,444,33025,49,41379,48,1887,True,True,27,27
525,500,121660,53,18297,60,1826,True,True,15,75
526,760,143395,34,3011,12,970,True,False,95,5
527,846,34288,52,45014,60,2487,True,True,79,71
528,552,109186,66,47558,48,590,True,True,33,83
529,689,26540,28,12738,12,1029,True,True,20,57
530,555,117768,38,29797,12,1160,True,True,42,93
531,749,101958,69,48498,60,1238,True,True,12,15
532,309,88878,43,12120,36,1225,True,True,73,99
533,541,61846,21,9767,24,1371,True,True,23,76
534,550,121148,51,23852,36,2186,False,True,72,30
535,304,95932,69,14703,60,691,True,True,96,20
536,418,37482,65,1929,24,2486,True,False,14,37
537,673,43411,35,12951,36,2075,True,True,91,3
538,364,70975,57,27039,24,1765,True,True,25,73
539,445,80545,52,49613,12,637,True,True,77,41
540,523,132302,58,30504,36,844,True,True,85,39
541,538,98797,46,18438,24,1703,True,True,31,26
542,476,72307,69,49515,24,1508,False,True,54,2
543,581,23093,46,6744,24,2235,False,True,5,23
544,362,97258,55,19284,36,1002,True,True,13,23
545,516,42042,59,43417,48,702,True,False,28,85
546,760,72930,38,40748,36,1072,True,True,43,16
547,404,137584,59,8069,60,691,True,True,89,9
548,398,64413,30,43359,36,504,True,False,99,13
549,810,133387,66,20799,24,2413,True,True,47,28
550,684,113623,58,34210,12,1760,True,True,71,27
551,704,117883,34,29226,36,2216,True,True,38,51
552,817,53756,26,5652,36,810,True,True,96,64
553,775,73268,58,25323,24,1048,True,False,67,52
554,736,59214,18,43138,12,555,True,False,62,81
555,322,101871,19,8597,12,942,True,True,39,38
556,757,147844,65,48093,60,1760,True,True,37,65
557,382,48602,46,38226,36,1369,True,True,86,18
